event,date,url
NJPW - Ultimate Crush,2003-05-02,
KOTC 23: Sin City,2003-05-16,
Meca 8,2003-05-16,
UFC 43: Meltdown,2003-06-06,
PRIDE 26: Bad to the Bone,2003-06-08,
KOTC 24: Mayhem,2003-06-14,
Meca 9,2003-08-01,
PRIDE Total Elimination 2003,2003-08-10,
IFC - Global Domination,2003-09-06,
Jungle Fight 1,2003-09-13,
UFC 44: Undisputed,2003-09-26,
PRIDE Bushido 1,2003-10-05,
ROTR 4,2003-10-10,
WEC 8: Halloween Fury 2,2003-10-17,
PRIDE Final Conflict 2003,2003-11-09,
UFC 45: Revolution,2003-11-21,
TKO 14,2003-11-29,
Heat FC 2,2003-12-18,
Inoki Bom-Ba-Ye 2003,2003-12-31,
PRIDE Shockwave 2003,2003-12-31,
WEC 9: Cold Blooded,2004-01-16,
UFC 46: Supernatural,2004-01-31,
PRIDE 27: Inferno,2004-02-01,
PRIDE Bushido 2,2004-02-15,
KOTC 33: After Shock,2004-02-20,
Mass Destruction 15,2004-02-21,
K-1 Beast 2004,2004-03-14,
UFC 47: It's On!,2004-04-02,
SuperBrawl 35,2004-04-16,
PRIDE Total Elimination 2004,2004-04-25,
FFC 9,2004-05-14,
Jungle Fight 2,2004-05-15,
WEC 10: Bragging Rights,2004-05-21,
K-1 ROMANEX,2004-05-22,
TKO 16,2004-05-22,
PRIDE Bushido 3,2004-05-23,
GC 26,2004-06-02,
GC 27,2004-06-03,
KOTC 36: Unfinished Business,2004-06-12,
UFC 48: Payback,2004-06-19,
PRIDE Critical Countdown 2004,2004-06-20,
Gladiator FC - Day 2,2004-06-27,
AFC 1,2004-07-14,
PRIDE Bushido 4,2004-07-19,
PRIDE Final Conflict 2004,2004-08-15,
WEC 11: Evolution,2004-08-20,
UFC 49: Unfinished Business,2004-08-21,
Cage Rage 8: Knights of the Octagon,2004-09-11,
PRIDE Bushido 5,2004-10-14,
WEC 12: Halloween Fury 3,2004-10-21,
UFC 50: The War Of '04,2004-10-22,
DEEP 16,2004-10-30,
PRIDE 28: High Octane,2004-10-31,
ROTR 6,2004-11-20,
SuperBrawl 38,2004-12-12,
K-1 Dynamite!! 2004,2004-12-31,
PRIDE Shockwave 2004,2004-12-31,
WEC 13: Heavyweight Explosion,2005-01-22,
Shooto 2005 1/29,2005-01-29,
TKO 19,2005-01-29,
UFC 51: Super Saturday,2005-02-05,
PRIDE 29: Fists Of Fire,2005-02-20,
K-1 Hero's 1,2005-03-26,
PRIDE Bushido 6,2005-04-03,
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,
UFC 52: Couture vs Liddell 2,2005-04-16,
PRIDE Total Elimination 2005,2005-04-23,
Cage Rage 11: Face Off,2005-04-30,
WEC 15: Judgment Day,2005-05-19,
PRIDE Bushido 7,2005-05-22,
UFC 53: Heavy Hitters,2005-06-04,
PRIDE Critical Countdown 2005,2005-06-26,
K-1 Hero's 2,2005-07-06,
Freedom Fight - Canada vs. USA,2005-07-09,
K-1 World Grand Prix Hawaii,2005-07-09,
CWFC - Strike Force 2,2005-07-16,
PRIDE Bushido 8,2005-07-17,
UFC Fight Night 1,2005-08-06,
WEC 16: Clash of the Titans 2,2005-08-18,
UFC 54: Boiling Point,2005-08-20,
PRIDE Final Conflict 2005,2005-08-28,
Predator FC 1,2005-09-10,
PRIDE Bushido 9: The Tournament,2005-09-25,
CWFC - Strike Force 3,2005-10-01,
UFC Fight Night 2,2005-10-03,
UFC 55: Fury,2005-10-07,
Bushido Europe - Rotterdam Rumble,2005-10-09,
K-1 World MAX 2005 Champions Challenge,2005-10-12,
WEC 17: Halloween Fury 4,2005-10-14,
PRIDE 30: Fully Loaded,2005-10-23,
K-1 Hero's Seoul,2005-11-05,
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,
Shooto 2005 11/6,2005-11-06,
UFC 56: Full Force,2005-11-19,
CWFC - Strike Force 4,2005-11-26,
DEEP 22,2005-12-02,
Cage Rage 14: Punishment,2005-12-03,
Shooto Brazil 9,2005-12-03,
PRIDE Shockwave 2005,2005-12-31,
WEC 18: Unfinished Business,2006-01-13,
UFC Fight Night 3,2006-01-16,
ROTR 8,2006-01-20,
UFC 57: Liddell vs Couture 3,2006-02-04,
PRIDE 31: Unbreakable,2006-02-26,
UFC 58: USA vs Canada,2006-03-04,
Strikeforce - Shamrock vs. Gracie,2006-03-10,
K-1 Hero's 4,2006-03-15,
WEC 19: Undisputed,2006-03-17,
"WCFC - No Guts, No Glory",2006-03-18,
PRIDE Bushido 10,2006-04-02,
UFC Fight Night 4,2006-04-06,
UFC 59: Reality Check,2006-04-15,
ROTR 9,2006-04-21,
Cage Rage 16: Critical Condition,2006-04-22,
IFL - Legends Championship 2006,2006-04-29,
Jungle Fight 6,2006-04-29,
K-1 Hero's 5,2006-05-03,
PRIDE Total Elimination Absolute,2006-05-05,
WEC 20: Cinco de Mayhem,2006-05-05,
UFC 60: Hughes vs Gracie,2006-05-27,
PRIDE Bushido 11,2006-06-04,
Strikeforce - Revenge,2006-06-09,
WEF 6/10,2006-06-10,
WEC 21: Tapout,2006-06-15,
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,2006-06-24,
UFC Fight Night 5,2006-06-28,
PRIDE Critical Countdown Absolute,2006-07-01,
UFC 61: Bitter Rivals,2006-07-08,
WFA - King of the Streets,2006-07-22,
WEC 22: The Hitmen,2006-07-28,
K-1 Hero's 6,2006-08-05,
UFC Fight Night 6,2006-08-17,
WEC 23: Hot August Fights,2006-08-17,
UFC 62: Liddell vs Sobral,2006-08-26,
PRIDE Bushido 12,2006-08-27,
PRIDE Final Conflict Absolute,2006-09-10,
WPFC 1,2006-09-15,
IFL - Gracie vs. Miletich,2006-09-23,
UFC 63: Hughes vs Penn,2006-09-23,
Fury FC 1,2006-09-27,
Strikeforce - Tank vs. Buentello,2006-10-07,
K-1 Hero's 7,2006-10-09,
Ortiz vs Shamrock 3: The Final Chapter,2006-10-10,
WEC 24: Full Force,2006-10-12,
Shooto - Champion Carnival,2006-10-14,
UFC 64: Unstoppable,2006-10-14,
PRIDE 32: The Real Deal,2006-10-21,
PRIDE Bushido 13,2006-11-05,
Show Fight 5,2006-11-09,
The Ultimate Fighter: The Comeback Finale,2006-11-11,
2H2H - Pride & Honor,2006-11-12,
UFC 65: Bad Intentions,2006-11-18,
Storm Samurai 12,2006-11-25,
Fury FC 2,2006-11-30,
Strikeforce - Triple Threat,2006-12-08,
UFC Fight Night: Sanchez vs Riggs,2006-12-13,
BodogFight - St. Petersburg,2006-12-16,
IFL - Championship Final,2006-12-29,
UFC 66: Liddell vs Ortiz 2,2006-12-30,
K-1 Dynamite!! 2006,2006-12-31,
PRIDE Shockwave 2006,2006-12-31,
WEC 25: McCullough vs. Cope,2007-01-20,
UFC Fight Night: Evans vs Salmon,2007-01-25,
UFC 67: All or Nothing,2007-02-03,
EliteXC - Destiny,2007-02-10,
Strikeforce - Young Guns,2007-02-10,
Shooto - Back to Our Roots 1,2007-02-17,
BodogFight - Costa Rica 2/18,2007-02-18,
PRIDE 33: The Second Coming,2007-02-24,
Pancrase - Rising 2,2007-02-28,
UFC 68: The Uprising,2007-03-03,
Floripa Fight 4,2007-03-10,
K-1 Hero's 8,2007-03-12,
WEC 26: Condit vs. Alessio,2007-03-24,
UFC Fight Night: Stevenson vs Guillard,2007-04-05,
IFL - Moline,2007-04-07,
UFC 69: Shootout,2007-04-07,
PRIDE 34: Kamikaze,2007-04-08,
BodogFight - Clash of Nations,2007-04-14,
Cage Rage 21: Judgement Day,2007-04-21,
UFC 70: Nations Collide,2007-04-21,
WEC 27: Marshall vs. McElfresh,2007-05-12,
UFC 71: Liddell vs Jackson,2007-05-26,
TKO 29,2007-06-01,
K-1 Dynamite!! USA,2007-06-02,
WEC 28: Faber vs. Farrar,2007-06-03,
UFC Fight Night: Stout vs Fisher,2007-06-12,
UFC 72: Victory,2007-06-16,
Strikeforce - Shamrock vs. Baroni,2007-06-22,
K-1 - World GP 2007 in Amsterdam,2007-06-23,
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,
UFC 73: Stacked,2007-07-07,https://www.bestfightodds.com/events/ufc-73-stacked-1
EliteXC - ShoXC 1,2007-07-27,
IFL - 2007 Semifinals,2007-08-02,
Fury FC 4: High Voltage,2007-08-04,
WEC 29: Condit vs. Larson,2007-08-05,
UFC 74: Respect,2007-08-25,https://www.bestfightodds.com/events/ufc-74-respect-7
WEC 30: McCullough vs. Crunkilton,2007-09-05,
UFC 75: Champion vs Champion,2007-09-08,https://www.bestfightodds.com/events/ufc-75-champion-vs-champion-6
EliteXC - Uprising,2007-09-15,https://www.bestfightodds.com/events/elitexc-uprising-18
K-1 Hero's 10,2007-09-17,
UFC Fight Night: Thomas vs Florian,2007-09-19,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
IFL - 2007 Team Championship Final,2007-09-20,
Cage Rage 23: Unbelievable,2007-09-22,
UFC 76: Knockout,2007-09-22,https://www.bestfightodds.com/events/ufc-76-knockout-12
Strikeforce - Playboy Mansion,2007-09-29,
HCF - Title Wave,2007-10-19,
UFC 77: Hostile Territory,2007-10-20,https://www.bestfightodds.com/events/ufc-77-hostile-territory-10
K-1 Hero's Korea 2007,2007-10-28,
IFL - World Grand Prix Semifinals,2007-11-03,
EliteXC - Renegade,2007-11-10,
"Strikeforce - Four Men Enter, One Man Survives",2007-11-16,
UFC 78: Validation,2007-11-17,https://www.bestfightodds.com/events/ufc-78-validation-14
Fury FC 5: Final Conflict,2007-12-06,
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-6-finale-8
WEC 31: Faber vs. Curran,2007-12-12,https://www.bestfightodds.com/events/wec-31-faber-vs-curran-33
UFC 79: Nemesis,2007-12-29,https://www.bestfightodds.com/events/ufc-79-nemesis-22
K-1 Dynamite!! 2007,2007-12-31,
Yarrenoka! - New Year's Eve 2007,2007-12-31,
UFC 80: Rapid Fire,2008-01-19,https://www.bestfightodds.com/events/ufc-80-rapid-fire-27
UFC Fight Night: Swick vs Burkman,2008-01-23,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
EliteXC - ShoXC 4,2008-01-25,
HCF - Destiny,2008-02-01,
Strikeforce - Young Guns 2,2008-02-01,
UFC 81: Breaking Point,2008-02-02,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
WEC 32: Condit vs. Prater,2008-02-13,https://www.bestfightodds.com/events/wec-32-43
EliteXC - Street Certified,2008-02-16,https://www.bestfightodds.com/events/elitexc-street-certified-41
Strikeforce - At the Dome,2008-02-23,https://www.bestfightodds.com/events/strikeforce-strikeforce-at-the-dome-51
UFC 82: Pride of a Champion,2008-03-01,https://www.bestfightodds.com/events/ufc-82-pride-of-a-champion-30
M-1 - Slamm,2008-03-02,
Sengoku - First Battle,2008-03-05,https://www.bestfightodds.com/events/wvr-sengoku-first-battle-48
DREAM 1: Lightweight Grand Prix 2008 1st Round,2008-03-15,https://www.bestfightodds.com/events/dream-1-49
WEC 33: Marshall vs. Stann,2008-03-26,https://www.bestfightodds.com/events/wec-33-50
Strikeforce - Shamrock vs. Le,2008-03-29,https://www.bestfightodds.com/events/strikeforce-shamrock-vs-le-35
UFC Fight Night: Florian vs Lauzon,2008-04-02,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
UFC 83: Serra vs St-Pierre 2,2008-04-19,https://www.bestfightodds.com/events/ufc-83-serra-vs-st-pierre-2-40
DREAM 2: Middleweight Grand Prix 2008 1st Round,2008-04-29,https://www.bestfightodds.com/events/dream-2-66
DREAM 3: Lightweight Grand Prix 2008 2nd Round,2008-05-11,https://www.bestfightodds.com/events/dream-3-68
IFL - Connecticut 2008,2008-05-16,https://www.bestfightodds.com/events/ifl-new-blood-new-battles-74
Sengoku - Second Battle,2008-05-18,https://www.bestfightodds.com/events/wvr-sengoku-second-battle-71
UFC 84: Ill Will,2008-05-24,https://www.bestfightodds.com/events/ufc-84-ill-will-47
EliteXC - Primetime,2008-05-31,https://www.bestfightodds.com/events/elitexc-primetime-67
WEC 34: Faber vs. Pulver,2008-06-01,https://www.bestfightodds.com/events/wec-34-faber-vs-pulver-63
UFC 85: Bedlam,2008-06-07,https://www.bestfightodds.com/events/ufc-85-bedlam-46
EliteXC - Return of the King,2008-06-14,https://www.bestfightodds.com/events/elitexc-return-of-the-king-77
DREAM 4: Middleweight Grand Prix 2008 2nd Round,2008-06-15,https://www.bestfightodds.com/events/dream-4-73
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,2008-06-21,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Strikeforce - Melendez vs. Thomson,2008-06-27,https://www.bestfightodds.com/events/strikeforce-melendez-vs-thomson-72
UFC 86: Jackson vs Griffin,2008-07-05,https://www.bestfightodds.com/events/ufc-86-jackson-vs-griffin-53
Affliction - Banned,2008-07-19,https://www.bestfightodds.com/events/affliction-1-banned-69
UFC: Silva vs Irvin,2008-07-19,https://www.bestfightodds.com/events/ufc-fight-night-14-silva-vs-irvin-83
DREAM 5: Lightweight Grand Prix 2008 Final Round,2008-07-21,https://www.bestfightodds.com/events/dream-5-82
EliteXC - Unfinished Business,2008-07-26,https://www.bestfightodds.com/events/elitexc-unfinished-business-85
WEC 35: Condit vs. Miura,2008-08-03,https://www.bestfightodds.com/events/wec-35-78
UFC 87: Seek And Destroy,2008-08-09,https://www.bestfightodds.com/events/ufc-87-seek-and-destroy-57
UFC 88: Breakthrough,2008-09-06,https://www.bestfightodds.com/events/ufc-88-breakthrough-80
Strikeforce - Young Guns 3,2008-09-13,
UFC Fight Night: Diaz vs Neer,2008-09-17,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Strikeforce - At the Mansion 2,2008-09-20,https://www.bestfightodds.com/events/strikeforce-at-the-mansion-2-94
DREAM 6: Middleweight Grand Prix 2008 Final Round,2008-09-23,https://www.bestfightodds.com/events/dream-6-96
Sengoku - Fifth Battle,2008-09-28,https://www.bestfightodds.com/events/wvr-sengoku-fifth-battle-99
Strikeforce - Payback,2008-10-03,https://www.bestfightodds.com/events/strikeforce-payback-100
EliteXC - Heat,2008-10-04,https://www.bestfightodds.com/events/elitexc-heat-97
UFC 89: Bisping vs Leben,2008-10-18,https://www.bestfightodds.com/events/ufc-89-bisping-vs-leben-86
UFC 90: Silva vs Cote,2008-10-25,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Sengoku - Sixth Battle,2008-11-01,https://www.bestfightodds.com/events/wvr-sengoku-sixth-battle-113
WEC 36: Faber vs. Brown,2008-11-05,https://www.bestfightodds.com/events/wec-36-faber-vs-brown-79
Ultimate Glory 10: The Battle of Arnhem,2008-11-09,
UFC 91: Couture vs Lesnar,2008-11-15,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Strikeforce - Destruction,2008-11-21,https://www.bestfightodds.com/events/strikeforce-destruction-112
WEC 37: Torres vs. Tapia,2008-12-03,https://www.bestfightodds.com/events/wec-37-torres-vs-tapia-115
UFC Fight Night - Fight for the Troops,2008-12-10,https://www.bestfightodds.com/events/ufc-fight-night-16-fight-for-the-troops-111
Adrenaline MMA 2: Miletich vs. Denny,2008-12-11,
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2008-12-13,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
UFC 92: The Ultimate 2008,2008-12-27,https://www.bestfightodds.com/events/ufc-92-the-ultimate-2008-95
Dynamite!! 2008,2008-12-31,https://www.bestfightodds.com/events/fields-dynamite-2008-116
Sengoku - no Ran 2009,2009-01-04,https://www.bestfightodds.com/events/wvr-sengoku-no-ran-119
UFC 93: Franklin vs Henderson,2009-01-17,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Affliction - Day of Reckoning,2009-01-24,https://www.bestfightodds.com/events/affliction-2-day-of-reckoning-90
WEC 38: Varner vs. Cerrone,2009-01-25,https://www.bestfightodds.com/events/wec-38-varner-vs-cerrone-122
UFC 94: St-Pierre vs Penn 2,2009-01-31,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
UFC Fight Night: Lauzon vs Stephens,2009-02-07,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
UFC 95: Sanchez vs Stevenson,2009-02-21,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
WEC 39: Brown vs. Garcia,2009-03-01,https://www.bestfightodds.com/events/wec-39-brown-vs-garcia-127
UFC 96: Jackson vs Jardine,2009-03-07,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
DREAM 7: Featherweight Grand Prix 2009 1st Round,2009-03-08,https://www.bestfightodds.com/events/dream-7-144
Sengoku - Seventh Battle,2009-03-20,https://www.bestfightodds.com/events/wvr-sengoku-seventh-battle-133
Ultimate Gladiators,2009-03-29,
UFC Fight Night: Condit vs Kampmann,2009-04-01,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
DREAM 8: Welterweight Grand Prix 2009 1st Round,2009-04-05,https://www.bestfightodds.com/events/dream-8-151
WEC 40: Torres vs. Mizugaki,2009-04-05,https://www.bestfightodds.com/events/wec-40-torres-vs-mizugaki-128
Strikeforce - Shamrock vs. Diaz,2009-04-11,https://www.bestfightodds.com/events/strikeforce-shamrock-vs-diaz-134
UFC 97: Redemption,2009-04-18,https://www.bestfightodds.com/events/ufc-97-redemption-126
WFC 8: D-Day,2009-04-18,
Jungle Fight 13,2009-05-09,
Strikeforce Challengers 1,2009-05-15,https://www.bestfightodds.com/events/sho-mma-aina-vs-evangelista-160
UFC 98: Evans vs Machida,2009-05-23,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
DREAM 9: Featherweight Grand Prix 2009 2nd Round,2009-05-26,https://www.bestfightodds.com/events/dream-9-155
Strikeforce - Lawler vs. Shields,2009-06-06,https://www.bestfightodds.com/events/strikeforce-shields-vs-lawler-152
WEC 41: Brown vs. Faber 2,2009-06-07,https://www.bestfightodds.com/events/wec-41-brown-vs-faber-2-154
UFC 99: The Comeback,2009-06-13,https://www.bestfightodds.com/events/ufc-99-the-comeback-136
Strikeforce Challengers 2,2009-06-19,https://www.bestfightodds.com/events/strikeforce-challengers-santos-vs-villasenor-161
The Ultimate Fighter: United States vs. United Kingdom Finale,2009-06-20,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
UFC 100,2009-07-11,https://www.bestfightodds.com/events/ufc-100-137
DREAM 10: Welterweight Grand Prix 2009 Final Round,2009-07-20,https://www.bestfightodds.com/events/dream-10-174
UFC 101: Declaration,2009-08-08,https://www.bestfightodds.com/events/ufc-101-declaration-145
WEC 42: Torres vs. Bowles,2009-08-09,https://www.bestfightodds.com/events/wec-42-torres-vs-bowles-175
Strikeforce - Carano vs. Cyborg,2009-08-15,https://www.bestfightodds.com/events/strikeforce-carano-vs-cyborg-182
M-1 Global - Breakthrough,2009-08-28,https://www.bestfightodds.com/events/m-1-global-breakthrough-198
UFC 102: Couture vs Nogueira,2009-08-29,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
UFC Fight Night: Diaz vs Guillard,2009-09-16,https://www.bestfightodds.com/events/ufc-fight-night-19-148
UFC 103: Franklin vs Belfort,2009-09-19,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Strikeforce Challengers 3,2009-09-25,https://www.bestfightodds.com/events/strikeforce-challengers-kennedy-vs-cummings-203
DREAM 11: Featherweight Grand Prix 2009 Final Round,2009-10-06,https://www.bestfightodds.com/events/dream-11-190
WEC 43: Cerrone vs. Henderson,2009-10-10,https://www.bestfightodds.com/events/wec-43-cerrone-vs-henderson-193
Ultimate Glory 11: A Decade of Fights,2009-10-17,
UFC 104: Machida vs Shogun,2009-10-24,https://www.bestfightodds.com/events/ufc-104-machida-vs-rua-185
DREAM 12,2009-10-25,https://www.bestfightodds.com/events/dream-12-192
Strikeforce Challengers 4,2009-11-06,https://www.bestfightodds.com/events/strikeforce-challengers-iv-evangelista-vs-gurgel-200
Strikeforce - Fedor vs. Rogers,2009-11-07,https://www.bestfightodds.com/events/strikeforce-fedor-vs-rogers-216
UFC 105: Couture vs Vera,2009-11-14,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
WEC 44: Brown vs. Aldo,2009-11-18,https://www.bestfightodds.com/events/wec-44-brown-vs-aldo-194
Strikeforce Challengers 5,2009-11-20,
UFC 106: Ortiz vs Griffin 2,2009-11-21,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
The Ultimate Fighter: Heavyweights Finale,2009-12-05,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
UFC 107: Penn vs Sanchez,2009-12-12,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
Strikeforce - Evolution,2009-12-19,https://www.bestfightodds.com/events/strikeforce-evolution-233
WEC 45: Cerrone vs. Ratcliff,2009-12-19,https://www.bestfightodds.com/events/wec-45-cerrone-vs-ratcliff-227
Dynamite!! 2009,2009-12-31,https://www.bestfightodds.com/events/fields-dynamite-2009-223
UFC 108: Evans vs Silva,2010-01-02,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
WEC 46: Varner vs. Henderson,2010-01-10,https://www.bestfightodds.com/events/wec-46-varner-vs-henderson-232
UFC Fight Night: Maynard vs Diaz,2010-01-11,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Strikeforce - Miami,2010-01-30,https://www.bestfightodds.com/events/strikeforce-miami-243
UFC 109: Relentless,2010-02-06,https://www.bestfightodds.com/events/ufc-109-relentless-226
UFC 110: Nogueira vs Velasquez,2010-02-20,https://www.bestfightodds.com/events/ufc-110-nogueira-vs-velasquez-225
Strikeforce Challengers 6,2010-02-26,https://www.bestfightodds.com/events/strikeforce-challengers-vi-kaufman-vs-hashi-250
WEC 47: Bowles vs. Cruz,2010-03-06,https://www.bestfightodds.com/events/wec-47-bowles-vs-cruz-241
UFC Live: Vera vs Jones,2010-03-21,https://www.bestfightodds.com/events/ufc-on-versus-1-vera-vs-jones-242
DREAM 13,2010-03-22,https://www.bestfightodds.com/events/dream-13-254
Strikeforce Challengers 7,2010-03-26,https://www.bestfightodds.com/events/strikeforce-challengers-vii-johnson-vs-mahe-253
UFC 111: St-Pierre vs Hardy,2010-03-27,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
UFC Fight Night: Florian vs Gomi,2010-03-31,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
UFC 112: Invincible,2010-04-10,https://www.bestfightodds.com/events/ufc-112-invincible-245
Strikeforce - Nashville,2010-04-17,https://www.bestfightodds.com/events/strikeforce-nashville-244
WEC 48: Aldo vs. Faber,2010-04-24,https://www.bestfightodds.com/events/wec-48-aldo-vs-faber-257
