event,date,url
UFC 1: The Beginning,1993-11-12,
UFC 2: No Way Out,1994-03-11,
UFC 3: The American Dream,1994-09-09,
UFC 4: Revenge of the Warriors,1994-12-16,
UFC 5: The Return of the Beast,1995-04-07,
UFC 6: Clash of the Titans,1995-07-14,
UFC 7: The Brawl in Buffalo,1995-09-08,
UFC - Ultimate Ultimate '95,1995-12-16,
UFC 8: David vs Goliath,1996-02-16,
UFC 9: Motor City Madness,1996-05-17,
UFC 10: The Tournament,1996-07-12,
UFC 11: The Proving Ground,1996-09-20,
UFC - Ultimate Ultimate '96,1996-12-07,
UFC 12: Judgement Day,1997-02-07,
UFC 13: The Ultimate Force,1997-05-30,
Brazil Open '97,1997-06-15,
UFC 14: Showdown,1997-07-27,
PRIDE 1,1997-10-11,
UFC 15: Collision Course,1997-10-17,
UFC - Ultimate Japan,1997-12-21,
PRIDE 2,1998-03-05,
UFC 16: Battle in the Bayou,1998-03-13,
UFC 17: Redemption,1998-05-15,
PRIDE 3,1998-06-24,
PRIDE 4,1998-10-11,
UFC - Ultimate Brazil,1998-10-16,
Vale Tudo Japan 1998,1998-10-25,
UFC 18: The Road to the Heavyweight Title,1999-01-08,
UFC 19: Ultimate Young Guns,1999-03-05,
PRIDE 5,1999-04-29,
UFC 20: Battle for the Gold,1999-05-07,
BRI 3,1999-06-01,
PRIDE 6,1999-07-04,
UFC 21: Return of the Champions,1999-07-16,
PRIDE 7,1999-09-12,
UFC 22: Only One Can be Champion,1999-09-24,
KOTC 1,1999-10-30,
UFC 23: Ultimate Japan 2,1999-11-19,
PRIDE 8,1999-11-21,
PRIDE Grand Prix 2000 Opening Round,2000-01-30,
UFC 24: First Defense,2000-03-10,
UFC 25: Ultimate Japan 3,2000-04-14,
PRIDE Grand Prix 2000 Finals,2000-05-01,
Meca 1,2000-05-27,
PRIDE 9: New Blood,2000-06-04,
UFC 26: Ultimate Field Of Dreams,2000-06-09,
EC 35,2000-06-29,
Meca 2,2000-08-12,
PRIDE 10: Return of the Warriors,2000-08-27,
UFC 27: Ultimate Bad Boyz,2000-09-22,
PRIDE 11: Battle of the Rising Sun,2000-10-31,
UFC 28: High Stakes,2000-11-17,
PRIDE 12: Cold Fury,2000-12-09,
Meca 4,2000-12-16,
UFC 29: Defense of the Belts,2000-12-16,
IFC - Warriors Challenge 11,2001-01-13,
UFC 30: Battle on the Boardwalk,2001-02-23,
Shooto - To the Top 2,2001-03-02,
PRIDE 13: Collision Course,2001-03-25,
UFC 31: Locked and Loaded,2001-05-04,
PRIDE 14: Clash of the Titans,2001-05-27,
Meca 5,2001-06-09,
UFC 32: Showdown in the Meadowlands,2001-06-29,
WEC 1: Princes of Pain,2001-06-30,
PRIDE 15: Raging Rumble,2001-07-29,
GC 5,2001-08-19,
K-1 2001 Japan GP Final,2001-08-19,
Shooto - To the Top 7,2001-08-26,
PRIDE 16: Beasts from the East,2001-09-24,
UFC 33: Victory in Vegas,2001-09-28,
UFC 34: High Voltage,2001-11-02,
PRIDE 17: Championship Chaos,2001-11-03,
WFA 1,2001-11-03,
PRIDE 18: Cold Fury 2,2001-12-23,
Inoki Bom-Ba-Ye 2001,2001-12-31,
UFC 35: Throwdown,2002-01-11,
UCC 7,2002-01-25,
Meca 6,2002-01-31,
PRIDE 19: Bad Blood,2002-02-24,
UFC 36: Worlds Collide,2002-03-22,
PRIDE 20: Armed and Ready,2002-04-28,
UFC 37: High Impact,2002-05-10,
WEC 3: All or Nothing,2002-06-07,
UCC 10,2002-06-15,
KOTC 14,2002-06-19,
KOTC 15: Bad Intentions,2002-06-22,
UFC 37.5: As Real As It Gets,2002-06-22,
PRIDE 21: Demolition,2002-06-23,
WFA 2,2002-07-05,
UFC 38: Brawl at the Hall,2002-07-13,
PRIDE The Best Vol.2,2002-07-20,
UFO - Legend,2002-08-08,
PRIDE Shockwave 2002,2002-08-28,
WEC 4: Rumble Under the Sun,2002-08-31,
UCC Hawaii,2002-09-17,
UFC 39: The Warriors Return,2002-09-27,
PRIDE 22: Beasts from the East 2,2002-09-29,
UCC 11,2002-10-11,
WEC 5: Halloween Fury,2002-10-18,
KOTC 17: San Jacinto,2002-10-19,
Meca 7,2002-11-08,
UFC 40: Vendetta,2002-11-22,
WFA 3,2002-11-23,
PRIDE 23: Championship Chaos 2,2002-11-24,
KOTC 20: Crossroads,2002-12-15,
PRIDE 24: Cold Fury 3,2002-12-23,
Inoki Bom-Ba-Ye 2002,2002-12-31,
UCC 12,2003-01-25,
UFC 41: Onslaught,2003-02-28,
PRIDE 25: Body Blow,2003-03-16,
WAFF 2,2003-03-22,
WEC 6: Return of a Legend,2003-03-27,
UFC 42: Sudden Impact,2003-04-25,
