event,date,url
WEC 6: Return of a Legend,3/27/2003,
UFC 42: Sudden Impact,4/25/2003,
NJPW - Ultimate Crush,5/2/2003,
KOTC 23: Sin City,5/16/2003,
Meca 8,5/16/2003,
UFC 43: Meltdown,6/6/2003,
PRIDE 26: Bad to the Bone,6/8/2003,
KOTC 24: Mayhem,6/14/2003,
Meca 9,8/1/2003,
PRIDE Total Elimination 2003,8/10/2003,
IFC - Global Domination,9/6/2003,
Jungle Fight 1,9/13/2003,
UFC 44: Undisputed,9/26/2003,
PRIDE Bushido 1,10/5/2003,
ROTR 4,10/10/2003,
WEC 8: Halloween Fury 2,10/17/2003,
PRIDE Final Conflict 2003,11/9/2003,
UFC 45: Revolution,11/21/2003,
TKO 14,11/29/2003,
Heat FC 2,12/18/2003,
Inoki Bom-Ba-Ye 2003,12/31/2003,
PRIDE Shockwave 2003,12/31/2003,
WEC 9: Cold Blooded,1/16/2004,
UFC 46: Supernatural,1/31/2004,
PRIDE 27: Inferno,2/1/2004,
PRIDE Bushido 2,2/15/2004,
KOTC 33: After Shock,2/20/2004,
Mass Destruction 15,2/21/2004,
K-1 Beast 2004,3/14/2004,
UFC 47: It's On!,4/2/2004,
SuperBrawl 35,4/16/2004,
PRIDE Total Elimination 2004,4/25/2004,
FFC 9,5/14/2004,
Jungle Fight 2,5/15/2004,
WEC 10: Bragging Rights,5/21/2004,
K-1 ROMANEX,5/22/2004,
TKO 16,5/22/2004,
PRIDE Bushido 3,5/23/2004,
GC 26,6/2/2004,
GC 27,6/3/2004,
KOTC 36: Unfinished Business,6/12/2004,
UFC 48: Payback,6/19/2004,
PRIDE Critical Countdown 2004,6/20/2004,
Gladiator FC - Day 2,6/27/2004,
AFC 1,7/14/2004,
PRIDE Bushido 4,7/19/2004,
PRIDE Final Conflict 2004,8/15/2004,
WEC 11: Evolution,8/20/2004,
UFC 49: Unfinished Business,8/21/2004,
Cage Rage 8: Knights of the Octagon,9/11/2004,
PRIDE Bushido 5,10/14/2004,
WEC 12: Halloween Fury 3,10/21/2004,
UFC 50: The War Of '04,10/22/2004,
DEEP 16,10/30/2004,
PRIDE 28: High Octane,10/31/2004,
ROTR 6,11/20/2004,
SuperBrawl 38,12/12/2004,
K-1 Dynamite!! 2004,12/31/2004,
PRIDE Shockwave 2004,12/31/2004,
WEC 13: Heavyweight Explosion,1/22/2005,
Shooto 2005 1/29,1/29/2005,
TKO 19,1/29/2005,
UFC 51: Super Saturday,2/5/2005,
PRIDE 29: Fists Of Fire,2/20/2005,
K-1 Hero's 1,3/26/2005,
PRIDE Bushido 6,4/3/2005,
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,4/9/2005,
UFC 52: Couture vs Liddell 2,4/16/2005,
PRIDE Total Elimination 2005,4/23/2005,
Cage Rage 11: Face Off,4/30/2005,
WEC 15: Judgment Day,5/19/2005,
PRIDE Bushido 7,5/22/2005,
UFC 53: Heavy Hitters,6/4/2005,
PRIDE Critical Countdown 2005,6/26/2005,
K-1 Hero's 2,7/6/2005,
Freedom Fight - Canada vs. USA,7/9/2005,
K-1 World Grand Prix Hawaii,7/9/2005,
CWFC - Strike Force 2,7/16/2005,
PRIDE Bushido 8,7/17/2005,
UFC Fight Night 1,8/6/2005,
WEC 16: Clash of the Titans 2,8/18/2005,
UFC 54: Boiling Point,8/20/2005,
PRIDE Final Conflict 2005,8/28/2005,
Predator FC 1,9/10/2005,
PRIDE Bushido 9: The Tournament,9/25/2005,
CWFC - Strike Force 3,10/1/2005,
UFC Fight Night 2,10/3/2005,
UFC 55: Fury,10/7/2005,
Bushido Europe - Rotterdam Rumble,10/9/2005,
K-1 World MAX 2005 Champions Challenge,10/12/2005,
WEC 17: Halloween Fury 4,10/14/2005,
PRIDE 30: Fully Loaded,10/23/2005,
K-1 Hero's Seoul,11/5/2005,
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,11/5/2005,
Shooto 2005 11/6,11/6/2005,
UFC 56: Full Force,11/19/2005,
CWFC - Strike Force 4,11/26/2005,
DEEP 22,12/2/2005,
Cage Rage 14: Punishment,12/3/2005,
Shooto Brazil 9,12/3/2005,
PRIDE Shockwave 2005,12/31/2005,
WEC 18: Unfinished Business,1/13/2006,
UFC Fight Night 3,1/16/2006,
ROTR 8,1/20/2006,
UFC 57: Liddell vs Couture 3,2/4/2006,
PRIDE 31: Unbreakable,2/26/2006,
UFC 58: USA vs Canada,3/4/2006,
Strikeforce - Shamrock vs. Gracie,3/10/2006,
K-1 Hero's 4,3/15/2006,
WEC 19: Undisputed,3/17/2006,
"WCFC - No Guts, No Glory",3/18/2006,
PRIDE Bushido 10,4/2/2006,
UFC Fight Night 4,4/6/2006,
UFC 59: Reality Check,4/15/2006,
ROTR 9,4/21/2006,
Cage Rage 16: Critical Condition,4/22/2006,
IFL - Legends Championship 2006,4/29/2006,
Jungle Fight 6,4/29/2006,
K-1 Hero's 5,5/3/2006,
PRIDE Total Elimination Absolute,5/5/2006,
WEC 20: Cinco de Mayhem,5/5/2006,
UFC 60: Hughes vs Gracie,5/27/2006,
PRIDE Bushido 11,6/4/2006,
Strikeforce - Revenge,6/9/2006,
WEF 6/10,6/10/2006,
WEC 21: Tapout,6/15/2006,
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,6/24/2006,
UFC Fight Night 5,6/28/2006,
PRIDE Critical Countdown Absolute,7/1/2006,
UFC 61: Bitter Rivals,7/8/2006,
WFA - King of the Streets,7/22/2006,
WEC 22: The Hitmen,7/28/2006,
K-1 Hero's 6,8/5/2006,
UFC Fight Night 6,8/17/2006,
WEC 23: Hot August Fights,8/17/2006,
UFC 62: Liddell vs Sobral,8/26/2006,
PRIDE Bushido 12,8/27/2006,
PRIDE Final Conflict Absolute,9/10/2006,
WPFC 1,9/15/2006,
IFL - Gracie vs. Miletich,9/23/2006,
UFC 63: Hughes vs Penn,9/23/2006,
Fury FC 1,9/27/2006,
Strikeforce - Tank vs. Buentello,10/7/2006,
K-1 Hero's 7,10/9/2006,
Ortiz vs Shamrock 3: The Final Chapter,10/10/2006,
WEC 24: Full Force,10/12/2006,
Shooto - Champion Carnival,10/14/2006,
UFC 64: Unstoppable,10/14/2006,
PRIDE 32: The Real Deal,10/21/2006,
PRIDE Bushido 13,11/5/2006,
Show Fight 5,11/9/2006,
The Ultimate Fighter: The Comeback Finale,11/11/2006,
2H2H - Pride & Honor,11/12/2006,
UFC 65: Bad Intentions,11/18/2006,
Storm Samurai 12,11/25/2006,
Fury FC 2,11/30/2006,
Strikeforce - Triple Threat,12/8/2006,
UFC Fight Night: Sanchez vs Riggs,12/13/2006,
BodogFight - St. Petersburg,12/16/2006,
IFL - Championship Final,12/29/2006,
UFC 66: Liddell vs Ortiz 2,12/30/2006,
K-1 Dynamite!! 2006,12/31/2006,
PRIDE Shockwave 2006,12/31/2006,
WEC 25: McCullough vs. Cope,1/20/2007,
UFC Fight Night: Evans vs Salmon,1/25/2007,
UFC 67: All or Nothing,2/3/2007,
EliteXC - Destiny,2/10/2007,
Strikeforce - Young Guns,2/10/2007,
Shooto - Back to Our Roots 1,2/17/2007,
BodogFight - Costa Rica 2/18,2/18/2007,
PRIDE 33: The Second Coming,2/24/2007,
Pancrase - Rising 2,2/28/2007,
UFC 68: The Uprising,3/3/2007,
Floripa Fight 4,3/10/2007,
K-1 Hero's 8,3/12/2007,
WEC 26: Condit vs. Alessio,3/24/2007,
UFC Fight Night: Stevenson vs Guillard,4/5/2007,
IFL - Moline,4/7/2007,
UFC 69: Shootout,4/7/2007,
PRIDE 34: Kamikaze,4/8/2007,
BodogFight - Clash of Nations,4/14/2007,
Cage Rage 21: Judgement Day,4/21/2007,
UFC 70: Nations Collide,4/21/2007,
WEC 27: Marshall vs. McElfresh,5/12/2007,
UFC 71: Liddell vs Jackson,5/26/2007,
TKO 29,6/1/2007,
K-1 Dynamite!! USA,6/2/2007,
WEC 28: Faber vs. Farrar,6/3/2007,
UFC Fight Night: Stout vs Fisher,6/12/2007,
UFC 72: Victory,6/16/2007,
Strikeforce - Shamrock vs. Baroni,6/22/2007,
K-1 - World GP 2007 in Amsterdam,6/23/2007,
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,6/23/2007,
UFC 73: Stacked,7/7/2007,https://www.bestfightodds.com/events/ufc-73-stacked-1
EliteXC - ShoXC 1,7/27/2007,
IFL - 2007 Semifinals,8/2/2007,
Fury FC 4: High Voltage,8/4/2007,
WEC 29: Condit vs. Larson,8/5/2007,
UFC 74: Respect,8/25/2007,https://www.bestfightodds.com/events/ufc-74-respect-7
WEC 30: McCullough vs. Crunkilton,9/5/2007,
UFC 75: Champion vs Champion,9/8/2007,https://www.bestfightodds.com/events/ufc-75-champion-vs-champion-6
EliteXC - Uprising,9/15/2007,https://www.bestfightodds.com/events/elitexc-uprising-18
K-1 Hero's 10,9/17/2007,
UFC Fight Night: Thomas vs Florian,9/19/2007,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
IFL - 2007 Team Championship Final,9/20/2007,
Cage Rage 23: Unbelievable,9/22/2007,
UFC 76: Knockout,9/22/2007,https://www.bestfightodds.com/events/ufc-76-knockout-12
Strikeforce - Playboy Mansion,9/29/2007,
HCF - Title Wave,10/19/2007,
UFC 77: Hostile Territory,10/20/2007,https://www.bestfightodds.com/events/ufc-77-hostile-territory-10
K-1 Hero's Korea 2007,10/28/2007,
IFL - World Grand Prix Semifinals,11/3/2007,
EliteXC - Renegade,11/10/2007,
"Strikeforce - Four Men Enter, One Man Survives",11/16/2007,
UFC 78: Validation,11/17/2007,https://www.bestfightodds.com/events/ufc-78-validation-14
Fury FC 5: Final Conflict,12/6/2007,
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,12/8/2007,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-6-finale-8
WEC 31: Faber vs. Curran,12/12/2007,https://www.bestfightodds.com/events/wec-31-faber-vs-curran-33
UFC 79: Nemesis,12/29/2007,https://www.bestfightodds.com/events/ufc-79-nemesis-22
K-1 Dynamite!! 2007,12/31/2007,
Yarrenoka! - New Year's Eve 2007,12/31/2007,
UFC 80: Rapid Fire,1/19/2008,https://www.bestfightodds.com/events/ufc-80-rapid-fire-27
UFC Fight Night: Swick vs Burkman,1/23/2008,https://www.bestfightodds.com/events/ufc-fight-night-12-swick-vs-burkman-36
EliteXC - ShoXC 4,1/25/2008,
HCF - Destiny,2/1/2008,
Strikeforce - Young Guns 2,2/1/2008,
UFC 81: Breaking Point,2/2/2008,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
WEC 32: Condit vs. Prater,2/13/2008,https://www.bestfightodds.com/events/wec-32-43
EliteXC - Street Certified,2/16/2008,https://www.bestfightodds.com/events/elitexc-street-certified-41
Strikeforce - At the Dome,2/23/2008,https://www.bestfightodds.com/events/strikeforce-strikeforce-at-the-dome-51
UFC 82: Pride of a Champion,3/1/2008,https://www.bestfightodds.com/events/ufc-82-pride-of-a-champion-30
M-1 - Slamm,3/2/2008,
Sengoku - First Battle,3/5/2008,https://www.bestfightodds.com/events/wvr-sengoku-first-battle-48
DREAM 1: Lightweight Grand Prix 2008 1st Round,3/15/2008,https://www.bestfightodds.com/events/dream-1-49
WEC 33: Marshall vs. Stann,3/26/2008,https://www.bestfightodds.com/events/wec-33-50
Strikeforce - Shamrock vs. Le,3/29/2008,https://www.bestfightodds.com/events/strikeforce-shamrock-vs-le-35
UFC Fight Night: Florian vs Lauzon,4/2/2008,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
UFC 83: Serra vs St-Pierre 2,4/19/2008,https://www.bestfightodds.com/events/ufc-83-serra-vs-st-pierre-2-40
DREAM 2: Middleweight Grand Prix 2008 1st Round,4/29/2008,https://www.bestfightodds.com/events/dream-2-66
DREAM 3: Lightweight Grand Prix 2008 2nd Round,5/11/2008,https://www.bestfightodds.com/events/dream-3-68
IFL - Connecticut 2008,5/16/2008,https://www.bestfightodds.com/events/ifl-new-blood-new-battles-74
Sengoku - Second Battle,5/18/2008,https://www.bestfightodds.com/events/wvr-sengoku-second-battle-71
UFC 84: Ill Will,5/24/2008,https://www.bestfightodds.com/events/ufc-84-ill-will-47
EliteXC - Primetime,5/31/2008,https://www.bestfightodds.com/events/elitexc-primetime-67
WEC 34: Faber vs. Pulver,6/1/2008,https://www.bestfightodds.com/events/wec-34-faber-vs-pulver-63
UFC 85: Bedlam,6/7/2008,https://www.bestfightodds.com/events/ufc-85-bedlam-46
EliteXC - Return of the King,6/14/2008,https://www.bestfightodds.com/events/elitexc-return-of-the-king-77
DREAM 4: Middleweight Grand Prix 2008 2nd Round,6/15/2008,https://www.bestfightodds.com/events/dream-4-73
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,6/21/2008,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-7-finale-70
Strikeforce - Melendez vs. Thomson,6/27/2008,https://www.bestfightodds.com/events/strikeforce-melendez-vs-thomson-72
UFC 86: Jackson vs Griffin,7/5/2008,https://www.bestfightodds.com/events/ufc-86-jackson-vs-griffin-53
Affliction - Banned,7/19/2008,https://www.bestfightodds.com/events/affliction-1-banned-69
UFC: Silva vs Irvin,7/19/2008,https://www.bestfightodds.com/events/ufc-fight-night-14-silva-vs-irvin-83
DREAM 5: Lightweight Grand Prix 2008 Final Round,7/21/2008,https://www.bestfightodds.com/events/dream-5-82
EliteXC - Unfinished Business,7/26/2008,https://www.bestfightodds.com/events/elitexc-unfinished-business-85
WEC 35: Condit vs. Miura,8/3/2008,https://www.bestfightodds.com/events/wec-35-78
UFC 87: Seek And Destroy,8/9/2008,https://www.bestfightodds.com/events/ufc-87-seek-and-destroy-57
UFC 88: Breakthrough,9/6/2008,https://www.bestfightodds.com/events/ufc-88-breakthrough-80
Strikeforce - Young Guns 3,9/13/2008,
UFC Fight Night: Diaz vs Neer,9/17/2008,https://www.bestfightodds.com/events/ufc-fight-night-15-diaz-vs-neer-84
Strikeforce - At the Mansion 2,9/20/2008,https://www.bestfightodds.com/events/strikeforce-at-the-mansion-2-94
DREAM 6: Middleweight Grand Prix 2008 Final Round,9/23/2008,https://www.bestfightodds.com/events/dream-6-96
Sengoku - Fifth Battle,9/28/2008,https://www.bestfightodds.com/events/wvr-sengoku-fifth-battle-99
Strikeforce - Payback,10/3/2008,https://www.bestfightodds.com/events/strikeforce-payback-100
EliteXC - Heat,10/4/2008,https://www.bestfightodds.com/events/elitexc-heat-97
UFC 89: Bisping vs Leben,10/18/2008,https://www.bestfightodds.com/events/ufc-89-bisping-vs-leben-86
UFC 90: Silva vs Cote,10/25/2008,https://www.bestfightodds.com/events/ufc-90-silva-vs-cote-92
Sengoku - Sixth Battle,11/1/2008,https://www.bestfightodds.com/events/wvr-sengoku-sixth-battle-113
WEC 36: Faber vs. Brown,11/5/2008,https://www.bestfightodds.com/events/wec-36-faber-vs-brown-79
Ultimate Glory 10: The Battle of Arnhem,11/9/2008,
UFC 91: Couture vs Lesnar,11/15/2008,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98
Strikeforce - Destruction,11/21/2008,https://www.bestfightodds.com/events/strikeforce-destruction-112
WEC 37: Torres vs. Tapia,12/3/2008,https://www.bestfightodds.com/events/wec-37-torres-vs-tapia-115
UFC Fight Night - Fight for the Troops,12/10/2008,https://www.bestfightodds.com/events/ufc-fight-night-16-fight-for-the-troops-111
Adrenaline MMA 2: Miletich vs. Denny,12/11/2008,
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,12/13/2008,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-8-finale-120
UFC 92: The Ultimate 2008,12/27/2008,https://www.bestfightodds.com/events/ufc-92-the-ultimate-2008-95
Dynamite!! 2008,12/31/2008,https://www.bestfightodds.com/events/fields-dynamite-2008-116
Sengoku - no Ran 2009,1/4/2009,https://www.bestfightodds.com/events/wvr-sengoku-no-ran-119
UFC 93: Franklin vs Henderson,1/17/2009,https://www.bestfightodds.com/events/ufc-93-franklin-vs-henderson-105
Affliction - Day of Reckoning,1/24/2009,https://www.bestfightodds.com/events/affliction-2-day-of-reckoning-90
WEC 38: Varner vs. Cerrone,1/25/2009,https://www.bestfightodds.com/events/wec-38-varner-vs-cerrone-122
UFC 94: St-Pierre vs Penn 2,1/31/2009,https://www.bestfightodds.com/events/ufc-94-st-pierre-vs-penn-2-107
UFC Fight Night: Lauzon vs Stephens,2/7/2009,https://www.bestfightodds.com/events/ufc-fight-night-17-lauzon-vs-stephens-123
UFC 95: Sanchez vs Stevenson,2/21/2009,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
WEC 39: Brown vs. Garcia,3/1/2009,https://www.bestfightodds.com/events/wec-39-brown-vs-garcia-127
UFC 96: Jackson vs Jardine,3/7/2009,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
DREAM 7: Featherweight Grand Prix 2009 1st Round,3/8/2009,https://www.bestfightodds.com/events/dream-7-144
Sengoku - Seventh Battle,3/20/2009,https://www.bestfightodds.com/events/wvr-sengoku-seventh-battle-133
Ultimate Gladiators,3/29/2009,
UFC Fight Night: Condit vs Kampmann,4/1/2009,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129
DREAM 8: Welterweight Grand Prix 2009 1st Round,4/5/2009,https://www.bestfightodds.com/events/dream-8-151
WEC 40: Torres vs. Mizugaki,4/5/2009,https://www.bestfightodds.com/events/wec-40-torres-vs-mizugaki-128
Strikeforce - Shamrock vs. Diaz,4/11/2009,https://www.bestfightodds.com/events/strikeforce-shamrock-vs-diaz-134
UFC 97: Redemption,4/18/2009,https://www.bestfightodds.com/events/ufc-97-redemption-126
WFC 8: D-Day,4/18/2009,
Jungle Fight 13,5/9/2009,
Strikeforce Challengers 1,5/15/2009,https://www.bestfightodds.com/events/sho-mma-aina-vs-evangelista-160
UFC 98: Evans vs Machida,5/23/2009,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
DREAM 9: Featherweight Grand Prix 2009 2nd Round,5/26/2009,https://www.bestfightodds.com/events/dream-9-155
Strikeforce - Lawler vs. Shields,6/6/2009,https://www.bestfightodds.com/events/strikeforce-shields-vs-lawler-152
WEC 41: Brown vs. Faber 2,6/7/2009,https://www.bestfightodds.com/events/wec-41-brown-vs-faber-2-154
UFC 99: The Comeback,6/13/2009,https://www.bestfightodds.com/events/ufc-99-the-comeback-136
Strikeforce Challengers 2,6/19/2009,https://www.bestfightodds.com/events/strikeforce-challengers-santos-vs-villasenor-161
The Ultimate Fighter: United States vs. United Kingdom Finale,6/20/2009,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-9-finale-147
UFC 100,7/11/2009,https://www.bestfightodds.com/events/ufc-100-137
DREAM 10: Welterweight Grand Prix 2009 Final Round,7/20/2009,https://www.bestfightodds.com/events/dream-10-174
UFC 101: Declaration,8/8/2009,https://www.bestfightodds.com/events/ufc-101-declaration-145
WEC 42: Torres vs. Bowles,8/9/2009,https://www.bestfightodds.com/events/wec-42-torres-vs-bowles-175
Strikeforce - Carano vs. Cyborg,8/15/2009,https://www.bestfightodds.com/events/strikeforce-carano-vs-cyborg-182
M-1 Global - Breakthrough,8/28/2009,https://www.bestfightodds.com/events/m-1-global-breakthrough-198
UFC 102: Couture vs Nogueira,8/29/2009,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
UFC Fight Night: Diaz vs Guillard,9/16/2009,https://www.bestfightodds.com/events/ufc-fight-night-19-148
UFC 103: Franklin vs Belfort,9/19/2009,https://www.bestfightodds.com/events/ufc-103-franklin-vs-belfort-168
Strikeforce Challengers 3,9/25/2009,https://www.bestfightodds.com/events/strikeforce-challengers-kennedy-vs-cummings-203
DREAM 11: Featherweight Grand Prix 2009 Final Round,10/6/2009,https://www.bestfightodds.com/events/dream-11-190
WEC 43: Cerrone vs. Henderson,10/10/2009,https://www.bestfightodds.com/events/wec-43-cerrone-vs-henderson-193
Ultimate Glory 11: A Decade of Fights,10/17/2009,
UFC 104: Machida vs Shogun,10/24/2009,https://www.bestfightodds.com/events/ufc-104-machida-vs-rua-185
DREAM 12,10/25/2009,https://www.bestfightodds.com/events/dream-12-192
Strikeforce Challengers 4,11/6/2009,https://www.bestfightodds.com/events/strikeforce-challengers-iv-evangelista-vs-gurgel-200
Strikeforce - Fedor vs. Rogers,11/7/2009,https://www.bestfightodds.com/events/strikeforce-fedor-vs-rogers-216
UFC 105: Couture vs Vera,11/14/2009,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201
WEC 44: Brown vs. Aldo,11/18/2009,https://www.bestfightodds.com/events/wec-44-brown-vs-aldo-194
Strikeforce Challengers 5,11/20/2009,
UFC 106: Ortiz vs Griffin 2,11/21/2009,https://www.bestfightodds.com/events/ufc-106-ortiz-vs-griffin-2-209
The Ultimate Fighter: Heavyweights Finale,12/5/2009,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
UFC 107: Penn vs Sanchez,12/12/2009,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189
Strikeforce - Evolution,12/19/2009,https://www.bestfightodds.com/events/strikeforce-evolution-233
WEC 45: Cerrone vs. Ratcliff,12/19/2009,https://www.bestfightodds.com/events/wec-45-cerrone-vs-ratcliff-227
Dynamite!! 2009,12/31/2009,https://www.bestfightodds.com/events/fields-dynamite-2009-223
UFC 108: Evans vs Silva,1/2/2010,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219
WEC 46: Varner vs. Henderson,1/10/2010,https://www.bestfightodds.com/events/wec-46-varner-vs-henderson-232
UFC Fight Night: Maynard vs Diaz,1/11/2010,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224
Strikeforce - Miami,1/30/2010,https://www.bestfightodds.com/events/strikeforce-miami-243
UFC 109: Relentless,2/6/2010,https://www.bestfightodds.com/events/ufc-109-relentless-226
UFC 110: Nogueira vs Velasquez,2/20/2010,https://www.bestfightodds.com/events/ufc-110-nogueira-vs-velasquez-225
Strikeforce Challengers 6,2/26/2010,https://www.bestfightodds.com/events/strikeforce-challengers-vi-kaufman-vs-hashi-250
WEC 47: Bowles vs. Cruz,3/6/2010,https://www.bestfightodds.com/events/wec-47-bowles-vs-cruz-241
UFC Live: Vera vs Jones,3/21/2010,https://www.bestfightodds.com/events/ufc-on-versus-1-vera-vs-jones-242
DREAM 13,3/22/2010,https://www.bestfightodds.com/events/dream-13-254
Strikeforce Challengers 7,3/26/2010,https://www.bestfightodds.com/events/strikeforce-challengers-vii-johnson-vs-mahe-253
UFC 111: St-Pierre vs Hardy,3/27/2010,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236
UFC Fight Night: Florian vs Gomi,3/31/2010,https://www.bestfightodds.com/events/ufc-fight-night-21-florian-vs-gomi-246
UFC 112: Invincible,4/10/2010,https://www.bestfightodds.com/events/ufc-112-invincible-245
Strikeforce - Nashville,4/17/2010,https://www.bestfightodds.com/events/strikeforce-nashville-244
WEC 48: Aldo vs. Faber,4/24/2010,https://www.bestfightodds.com/events/wec-48-aldo-vs-faber-257
