event,date,url
UFC 1: The Beginning,11/12/1993,
UFC 2: No Way Out,3/11/1994,
UFC 3: The American Dream,9/9/1994,
UFC 4: Revenge of the Warriors,12/16/1994,
UFC 5: The Return of the Beast,4/7/1995,
UFC 6: Clash of the Titans,7/14/1995,
UFC 7: The Brawl in Buffalo,9/8/1995,
UFC - Ultimate Ultimate '95,12/16/1995,
UFC 8: David vs Goliath,2/16/1996,
UFC 9: Motor City Madness,5/17/1996,
UFC 10: The Tournament,7/12/1996,
UFC 11: The Proving Ground,9/20/1996,
UFC - Ultimate Ultimate '96,12/7/1996,
UFC 12: Judgement Day,2/7/1997,
UFC 13: The Ultimate Force,5/30/1997,
Brazil Open '97,6/15/1997,
UFC 14: Showdown,7/27/1997,
PRIDE 1,10/11/1997,
UFC 15: Collision Course,10/17/1997,
UFC - Ultimate Japan,12/21/1997,
PRIDE 2,3/5/1998,
UFC 16: Battle in the Bayou,3/13/1998,
UFC 17: Redemption,5/15/1998,
PRIDE 3,6/24/1998,
PRIDE 4,10/11/1998,
UFC - Ultimate Brazil,10/16/1998,
Vale Tudo Japan 1998,10/25/1998,
UFC 18: The Road to the Heavyweight Title,1/8/1999,
UFC 19: Ultimate Young Guns,3/5/1999,
PRIDE 5,4/29/1999,
UFC 20: Battle for the Gold,5/7/1999,
BRI 3,6/1/1999,
PRIDE 6,7/4/1999,
UFC 21: Return of the Champions,7/16/1999,
PRIDE 7,9/12/1999,
UFC 22: Only One Can be Champion,9/24/1999,
KOTC 1,10/30/1999,
UFC 23: Ultimate Japan 2,11/19/1999,
PRIDE 8,11/21/1999,
PRIDE Grand Prix 2000 Opening Round,1/30/2000,
UFC 24: First Defense,3/10/2000,
UFC 25: Ultimate Japan 3,4/14/2000,
PRIDE Grand Prix 2000 Finals,5/1/2000,
Meca 1,5/27/2000,
PRIDE 9: New Blood,6/4/2000,
UFC 26: Ultimate Field Of Dreams,6/9/2000,
EC 35,6/29/2000,
Meca 2,8/12/2000,
PRIDE 10: Return of the Warriors,8/27/2000,
UFC 27: Ultimate Bad Boyz,9/22/2000,
PRIDE 11: Battle of the Rising Sun,10/31/2000,
UFC 28: High Stakes,11/17/2000,
PRIDE 12: Cold Fury,12/9/2000,
Meca 4,12/16/2000,
UFC 29: Defense of the Belts,12/16/2000,
IFC - Warriors Challenge 11,1/13/2001,
UFC 30: Battle on the Boardwalk,2/23/2001,
Shooto - To the Top 2,3/2/2001,
PRIDE 13: Collision Course,3/25/2001,
UFC 31: Locked and Loaded,5/4/2001,
PRIDE 14: Clash of the Titans,5/27/2001,
Meca 5,6/9/2001,
UFC 32: Showdown in the Meadowlands,6/29/2001,
WEC 1: Princes of Pain,6/30/2001,
PRIDE 15: Raging Rumble,7/29/2001,
GC 5,8/19/2001,
K-1 2001 Japan GP Final,8/19/2001,
Shooto - To the Top 7,8/26/2001,
PRIDE 16: Beasts from the East,9/24/2001,
UFC 33: Victory in Vegas,9/28/2001,
UFC 34: High Voltage,11/2/2001,
PRIDE 17: Championship Chaos,11/3/2001,
WFA 1,11/3/2001,
PRIDE 18: Cold Fury 2,12/23/2001,
Inoki Bom-Ba-Ye 2001,12/31/2001,
UFC 35: Throwdown,1/11/2002,
UCC 7,1/25/2002,
Meca 6,1/31/2002,
PRIDE 19: Bad Blood,2/24/2002,
UFC 36: Worlds Collide,3/22/2002,
PRIDE 20: Armed and Ready,4/28/2002,
UFC 37: High Impact,5/10/2002,
WEC 3: All or Nothing,6/7/2002,
UCC 10,6/15/2002,
KOTC 14,6/19/2002,
KOTC 15: Bad Intentions,6/22/2002,
UFC 37.5: As Real As It Gets,6/22/2002,
PRIDE 21: Demolition,6/23/2002,
WFA 2,7/5/2002,
UFC 38: Brawl at the Hall,7/13/2002,
PRIDE The Best Vol.2,7/20/2002,
UFO - Legend,8/8/2002,
PRIDE Shockwave 2002,8/28/2002,
WEC 4: Rumble Under the Sun,8/31/2002,
UCC Hawaii,9/17/2002,
UFC 39: The Warriors Return,9/27/2002,
PRIDE 22: Beasts from the East 2,9/29/2002,
UCC 11,10/11/2002,
WEC 5: Halloween Fury,10/18/2002,
KOTC 17: San Jacinto,10/19/2002,
Meca 7,11/8/2002,
UFC 40: Vendetta,11/22/2002,
WFA 3,11/23/2002,
PRIDE 23: Championship Chaos 2,11/24/2002,
KOTC 20: Crossroads,12/15/2002,
PRIDE 24: Cold Fury 3,12/23/2002,
Inoki Bom-Ba-Ye 2002,12/31/2002,
UCC 12,1/25/2003,
UFC 41: Onslaught,2/28/2003,
PRIDE 25: Body Blow,3/16/2003,
WAFF 2,3/22/2003,
