UFCSTATS_BOUT_ID,RED_FIGHTER_ODDS,BLUE_FIGHTER_ODDS
26ad51050ea55600,1.291193981,3.81
cfca060f39db1742,2.868333333,1.441744748
1197b94bb4b56cc2,1.738271605,2.108333333
db68ff7bf2487971,1.400189119,3.025
74c98716b4a74a3d,3.593333333,1.302368632
0e37ea649c51fba9,1.702635683,2.178333333
524ce5c0d6db74bb,1.296663693,3.743333333
f9b600343a31227b,2.907142857,1.422429262
d98d5a3800cd21fb,1.328862011,3.485
fc0d77057ec806fe,1.47458471,2.752
e1c333892d395a35,1.594900241,2.442
c4b0ef8f42eecbcc,2.438,1.596104517
804eff79a58ad250,1.253542021,4.072
3957d820e11275f7,1.263222912,4.054
d9decf169a2da676,1.574255109,2.441428571
b5bef60f79b38e69,1.130287435,6.6275
d470bb3cb98d9ed7,1.720363195,2.132
20fc3b3ab2d2fecf,1.521450021,2.591666667
c5f56797c68ecbeb,3.218333333,1.36811805
d9a8d19107d2bd9e,3.042857143,1.390413943
7929542a0003799f,2.8,1.449047604
bb6eacc986791dcd,1.175336801,5.005714286
dd47c3359dc1b7d0,1.26478174,3.865714286
8f560a1fa19c122a,1.355280296,3.238571429
f0b42c9e55025ad3,2.33,1.62325265
fc6d1396755692b4,1.574665691,2.432857143
d036a7aeab47cf8c,1.520189124,2.562
5182daf3d8726f6d,2.53,1.595322466
bcf49463525efbee,1.204112097,4.586666667
825aa322af15780a,1.234241687,4.34
8b15591a73aa7eb0,1.314134258,3.492
029cd254fe02d4b8,1.163274692,5.322857143
04476d021385a621,1.445953256,2.794285714
50325e08203fedbd,1.679610482,2.2175
65352762d807cd59,2.373333333,1.605747341
a53b8686b748849f,1.680878311,2.221666667
30aa9b4d266eb622,3.052857143,1.385779721
53e9e8fefa2c2f42,1.526347154,2.57
f35b859289fba80e,1.151441794,5.615714286
b89dea8c3e6bba6f,1.135874945,6.022857143
6ca284a75c21c2e0,1.1330795,6.18
9103686732816d77,2.585714286,1.512953352
10b19bb48aadc6bd,2.975714286,1.395672148
089dd2e0cc6395fa,1.613238474,2.341428571
dbe6c361530958bc,1.653686369,2.459686411
78f46acac9223859,2.393333333,1.62963699
190c61d5a67018b5,2.731428571,1.468353455
362f78f23304c6f4,1.503649945,2.673333333
be38ed9ccfe2ee03,2.861666667,1.436967096
eb1b371dfc37fcdb,1.425000602,2.883333333
219bd976b8ca745d,2.263333333,1.655742357
af178adff964d854,1.55781571,2.526
96da5813683649f5,1.604718403,2.39
920194911d727a38,3.933333333,1.261343642
df3b75809b7fe252,1.199320921,4.5775
8153c30fad5b2ad8,1.309743,3.78
b675c94f20551631,1.365501406,3.16
6ae2cd7feede5a33,1.30427301,3.505
67948da92e6c9bdc,1.205114701,4.551666667
628d02b6046d5f73,1.497396053,2.625714286
1d00497a573d7f4c,1.32263693,3.427142857
b376a6fb0ca4862e,1.585510193,2.43
02d2da0420fbdd39,1.438425197,2.825714286
004b9368337d3cd6,1.417907125,2.898571429
03d30a534dee8ac5,2.192857143,1.684411837
e57d1260201e5101,1.1344542,6.108571429
bd5edc0bfa0db8c8,1.498162482,2.648571429
c5bef3da17e595ee,2.27,1.647696619
6baa381a75582d98,1.541376097,2.514285714
c9d3ccbfef600989,1.398578464,3.03
8a8400c6c42df59a,1.461293743,2.675
96c95cff535291d9,1.414786136,2.9275
b976eb99de0f63ca,2.2,1.66583394
f8f73efa2d4cc566,4.433333333,1.214814815
94f880f25dd011cd,4.3525,1.222294176
4a482ad5b021bb25,1.414265537,2.9525
0fe3681eb934bdc3,2.521666667,1.540915263
171007deb1cc56aa,2.768571429,1.456302029
ff872fa3e9ec32a9,1.820917679,1.958780524
761681c1ab0fdead,1.274598087,3.8775
b3a3341a5db2d484,2.626666667,1.497552886
0700b74037329215,1.642760497,2.285
5288ef3edf1eda6e,1.859863946,1.90418174
