,name,url
47,Juan Alcain,http://ufcstats.com/fighter-details/39f62b833e4cf126
48,Iuri Alcantara,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
49,Ildemar Alcantara,http://ufcstats.com/fighter-details/7c6e87729e824ef4
50,Alfonso Alcarez,http://ufcstats.com/fighter-details/1e38bba6738b7b10
51,Gilbert Aldana,http://ufcstats.com/fighter-details/d26934530dc5b248
52,Irene Aldana,http://ufcstats.com/fighter-details/578ef12674df1e6a
53,Hector Aldana,http://ufcstats.com/fighter-details/c487223b0289bda9
54,Jose Alday,http://ufcstats.com/fighter-details/7460ddef986d3144
55,Jose Aldo,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
56,JJ Aldrich,http://ufcstats.com/fighter-details/6fd953151d981979
57,Irina Alekseeva,http://ufcstats.com/fighter-details/103e2e33a60683e1
58,Jim Alers,http://ufcstats.com/fighter-details/fe5a9547479396ab
59,John Alessio,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
60,Houston Alexander,http://ufcstats.com/fighter-details/0541480fbf719d86
61,Kenneth Alexander,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
62,Lucas Alexander,http://ufcstats.com/fighter-details/11583163f45c7b31
63,Marcio Alexandre Junior,http://ufcstats.com/fighter-details/d53482bef23235ba
64,Olaf Alfonso,http://ufcstats.com/fighter-details/b757c73f443d4fca
65,Pablo Alfonso,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
66,Levi Alford,http://ufcstats.com/fighter-details/41b34b7f11f6d085
67,Bill Algeo,http://ufcstats.com/fighter-details/9abc648e76c4493a
68,Royce Alger,http://ufcstats.com/fighter-details/669a3cb6e394f515
69,Amir Aliakbari,http://ufcstats.com/fighter-details/e17770faae3ca54c
70,Sultan Aliev,http://ufcstats.com/fighter-details/e70de1859b7ee78e
71,Nurullo Aliev,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
72,Ikram Aliskerov,http://ufcstats.com/fighter-details/b07aed698fba8624
73,Leon Aliu,http://ufcstats.com/fighter-details/6db394bf6c3b017c
74,John Allan,http://ufcstats.com/fighter-details/6ebe96a116e79e52
75,George Allen,http://ufcstats.com/fighter-details/1e13936d708bcff7
76,Arnold Allen,http://ufcstats.com/fighter-details/040a74bb0a465c54
77,Brendan Allen,http://ufcstats.com/fighter-details/2f181c0467965b98
78,Ben Alloway,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
79,Ricardo Almeida,http://ufcstats.com/fighter-details/91186547a7f3f758
80,Magno Almeida,http://ufcstats.com/fighter-details/d615d6a10a4704cd
81,Thomas Almeida,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
82,Ericka Almeida,http://ufcstats.com/fighter-details/67a992d4cff22466
83,Estefani Almeida,http://ufcstats.com/fighter-details/f16ddfa31236efed
84,Jailton Almeida,http://ufcstats.com/fighter-details/41e83a89929d1327
85,Lucas Almeida,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
86,Mauricio Alonso,http://ufcstats.com/fighter-details/c6bf75775b278ed8
87,Sarah Alpar,http://ufcstats.com/fighter-details/49b130de1da2e1bf
88,Ali AlQaisi,http://ufcstats.com/fighter-details/e87a13e02c01331d
89,Rico Altamirano,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
90,Victor Altamirano,http://ufcstats.com/fighter-details/dc7927cd622676a7
91,Mike Altman,http://ufcstats.com/fighter-details/c11036da9162cb5f
92,Sean Alvarez,http://ufcstats.com/fighter-details/e741536153227386
93,Eddie Alvarez,http://ufcstats.com/fighter-details/33a331684283900f
94,Jaime Alvarez,http://ufcstats.com/fighter-details/4438482bd1d5a029
95,Joel Alvarez,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
96,Thiago Alves,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
97,Anthony Alves,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
98,Amilcar Alves,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
99,Warlley Alves,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
100,Rafael Alves,http://ufcstats.com/fighter-details/029afd138865d20a
101,Sam Alvey,http://ufcstats.com/fighter-details/d156513a19acf856
102,Andre Amado,http://ufcstats.com/fighter-details/20821819c401ced8
103,Adlan Amagov,http://ufcstats.com/fighter-details/1e327b281ef6a745
104,Maiara Amanajas dos Santos,http://ufcstats.com/fighter-details/247fbbfafea60bb1
105,Rayanne Amanda,http://ufcstats.com/fighter-details/02bb48869eb7ac8f
106,Chris Amarante,http://ufcstats.com/fighter-details/ee0b69e307c857e5
107,Jimmy Ambriz,http://ufcstats.com/fighter-details/c912f676692c353a
108,JJ Ambrose,http://ufcstats.com/fighter-details/d562b12b8fe88336
109,Alen Amedovski,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
110,Makwan Amirkhani,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
111,Jaqueline Amorim,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
112,Bertrand Amoussou,http://ufcstats.com/fighter-details/53adf5b845d91e4a
113,Karl Amoussou,http://ufcstats.com/fighter-details/23a8c33869bf5392
114,Eryk Anders,http://ufcstats.com/fighter-details/cad24459b28592ca
115,Matt Andersen,http://ufcstats.com/fighter-details/8738eacd62e82a32
116,Andy Anderson,http://ufcstats.com/fighter-details/9199e0735b83dd32
117,Lowell Anderson,http://ufcstats.com/fighter-details/1ffc38f67785797b
118,Corey Anderson,http://ufcstats.com/fighter-details/5e4eec08896c9423
119,Derek Anderson,http://ufcstats.com/fighter-details/19ba965651486013
120,Megan Anderson,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
121,Tatsuya Ando,http://ufcstats.com/fighter-details/17615148dd4be6f6
122,Alex Andrade,http://ufcstats.com/fighter-details/1562b12763cc8d67
123,Jessica Andrade,http://ufcstats.com/fighter-details/6a1901c62ab3870f
124,Viscardi Andrade,http://ufcstats.com/fighter-details/d221ee27afc7a60e
125,Jermaine Andre,http://ufcstats.com/fighter-details/9bad58fa651d6196
126,Juan Andres Luna,http://ufcstats.com/fighter-details/1fd9f744105024a8
127,Dylan Andrews,http://ufcstats.com/fighter-details/00debc804e2b1cd4
128,Reese Andy,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
129,Angga,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
130,Julius Anglickas,http://ufcstats.com/fighter-details/e20ad078a7d63361
131,Collin Anglin,http://ufcstats.com/fighter-details/047a91d3d9c79b05
132,Chad Anheliger,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
133,Yoji Anjo,http://ufcstats.com/fighter-details/e06fd1260ac865a7
134,Magomed Ankalaev,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
135,Gadzhimurad Antigulov,http://ufcstats.com/fighter-details/af997f7611673880
136,Adam Antolin,http://ufcstats.com/fighter-details/25b31165758402dd
137,Angelo Antonio,http://ufcstats.com/fighter-details/dbd198f780286aca
138,Azunna Anyanwu,http://ufcstats.com/fighter-details/78d48d3874dacafd
139,Shinsho Anzai,http://ufcstats.com/fighter-details/4665f9f909cd7214
140,Shinya Aoki,http://ufcstats.com/fighter-details/79ded75550efc139
141,Aoriqileng,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
142,Josh Appelt,http://ufcstats.com/fighter-details/0c1a04afca64e38f
143,Erik Apple,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
144,Kenji Arai,http://ufcstats.com/fighter-details/269d103c96a4c3a5
145,Romie Aram,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
146,Felipe Arantes,http://ufcstats.com/fighter-details/71002dbc1743b9a7
147,Igor Araujo,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
148,Viviane Araujo,http://ufcstats.com/fighter-details/36541f1e6c5d4955
149,Julio Arce,http://ufcstats.com/fighter-details/1291edf2d566a71a
150,Art Arciniega,http://ufcstats.com/fighter-details/d25e39e74efb0a77
151,Tristan Arenal,http://ufcstats.com/fighter-details/9c9455912d917e4e
152,Dan Argueta,http://ufcstats.com/fighter-details/e4ba58725825412d
153,Hashem Arkhagha,http://ufcstats.com/fighter-details/9a7ffa80766caa51
154,Andrei Arlovski,http://ufcstats.com/fighter-details/3738e68d2261e60f
155,Garrett Armfield,http://ufcstats.com/fighter-details/1effd880e1f1bb30
156,Joey Armstrong,http://ufcstats.com/fighter-details/30ad2050273d016a
157,Austin Arnett,http://ufcstats.com/fighter-details/bf0e700106d00e55
158,Ricardo Arona,http://ufcstats.com/fighter-details/05fbfe628658c538
159,Chalid Arrab,http://ufcstats.com/fighter-details/770b9d4813c25902
160,Akbarh Arreola,http://ufcstats.com/fighter-details/c136b2a8852da5bd
161,Matt Arroyo,http://ufcstats.com/fighter-details/de62052b2ede65ba
162,Antonio Arroyo,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
163,Gilles Arsene,http://ufcstats.com/fighter-details/2dea80c069847321
164,Veta Arteaga,http://ufcstats.com/fighter-details/91e3388e69060e69
165,Cesar Arzamendia,http://ufcstats.com/fighter-details/49f78022126bf4a4
166,Teddy Ash,http://ufcstats.com/fighter-details/a373085066dbfb54
167,Arman Ashimov,http://ufcstats.com/fighter-details/d26a0988c9dc9886
168,Yanal Ashmoz,http://ufcstats.com/fighter-details/c739c2995a275314
169,Asjabharan,http://ufcstats.com/fighter-details/8be9deb7d6b36354
170,Askar Askar,http://ufcstats.com/fighter-details/2abc414136504554
171,Askar Askarov,http://ufcstats.com/fighter-details/b1d19449397541dc
172,Cyril Asker,http://ufcstats.com/fighter-details/9be6020024133293
173,Khusein Askhabov,http://ufcstats.com/fighter-details/5c10da56d712ac9c
174,Scott Askham,http://ufcstats.com/fighter-details/06827d70c53ff0d9
175,Ben Askren,http://ufcstats.com/fighter-details/0b31f87be71ebbb1
176,Ibo Aslan,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
177,Tom Aspinall,http://ufcstats.com/fighter-details/399afbabc02376b5
178,Bruno Assis,http://ufcstats.com/fighter-details/ff222167cce02919
179,Junior Assuncao,http://ufcstats.com/fighter-details/d0d7160824278840
180,Raphael Assuncao,http://ufcstats.com/fighter-details/2f13e4020cea5b38
181,Bazigit Atajev,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95
182,Rich Attonito,http://ufcstats.com/fighter-details/210935fd21670f6d
183,Olivier Aubin-Mercier,http://ufcstats.com/fighter-details/55ee431411ccf07a
184,Pat Audinwood,http://ufcstats.com/fighter-details/196ed28337adc630
185,Jose Augusto,http://ufcstats.com/fighter-details/4d3b08ab127c7585
186,Marcus Aurelio,http://ufcstats.com/fighter-details/04643fd03d9159cc
187,David Avellan,http://ufcstats.com/fighter-details/956dcac65e7b34d6
188,Blas Avena,http://ufcstats.com/fighter-details/8753e125f4499816
189,Levi Avera,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
190,Anthony Avila,http://ufcstats.com/fighter-details/033d19259f589457
191,Chris Avila,http://ufcstats.com/fighter-details/4665cbf36b08193b
192,Julia Avila,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
193,Saad Awad,http://ufcstats.com/fighter-details/da603332ad41f165
194,Javy Ayala,http://ufcstats.com/fighter-details/26387c19f32dda0f
195,Jessin Ayari,http://ufcstats.com/fighter-details/6eaec40f724852f4
196,Abu Azaitar,http://ufcstats.com/fighter-details/46d0a888d87d91ac
197,Ottman Azaitar,http://ufcstats.com/fighter-details/ee18ff42063174df
198,Luiz Azeredo,http://ufcstats.com/fighter-details/063649e21bc9d6d5
199,Luciano Azevedo,http://ufcstats.com/fighter-details/9bcfb40dbcd50568
200,Hunter Azure,http://ufcstats.com/fighter-details/2af2f2e26c4c0402
201,Niklas Backstrom,http://ufcstats.com/fighter-details/39cc64bf0a269db9
202,Seth Baczynski,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a
203,Ryan Bader,http://ufcstats.com/fighter-details/c0ab242c40decc55
204,Izabela Badurek,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
205,Miguel Baeza,http://ufcstats.com/fighter-details/82d4c957649faf9b
206,Ali Bagautinov,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3
207,Mehdi Baghdad,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b
208,Melsik Baghdasaryan,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6
209,Siyar Bahadurzada,http://ufcstats.com/fighter-details/aec185309b4843d0
210,Ignacio Bahamondes,http://ufcstats.com/fighter-details/e4a47b07044ddd72
211,Shamar Bailey,http://ufcstats.com/fighter-details/e2b8186b618b00c4
212,Jordan Bailey,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36
213,Scott Baker,http://ufcstats.com/fighter-details/7d5b12de1625984e
214,Bryan Baker,http://ufcstats.com/fighter-details/898337ef520fe4d3
215,Jin Bala,http://ufcstats.com/fighter-details/371efa53bd0cf669
216,Balajin,http://ufcstats.com/fighter-details/e626e92a8f2a9737
217,Oluwale Bamgbose,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c
218,Stephen Banaszak,http://ufcstats.com/fighter-details/4c4b44e3cf5815b3
219,Marcin Bandel,http://ufcstats.com/fighter-details/5c2ce761399dc9c5
220,Humberto Bandenay,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5
221,Tae Hyun Bang,http://ufcstats.com/fighter-details/9a2d3567abc02e34
222,Yohan Banks,http://ufcstats.com/fighter-details/c50ea21fe9ef478d
223,Antonio Banuelos,http://ufcstats.com/fighter-details/9ddfb3369a3b0394
224,Renan Barao,http://ufcstats.com/fighter-details/2c99576fefe53c7c
225,Junior Barata,http://ufcstats.com/fighter-details/06dced58ca24a6bd
226,Maycee Barber,http://ufcstats.com/fighter-details/6a740daf1b279661
227,Bryan Barberena,http://ufcstats.com/fighter-details/a331233f597090a5
228,Edson Barboza,http://ufcstats.com/fighter-details/64a50dad704d1d49
229,Raoni Barcelos,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
230,Daniel Barez,http://ufcstats.com/fighter-details/e8fe9c15d348e778
231,Luke Barnatt,http://ufcstats.com/fighter-details/172c2135e70f87b7
232,James Barnes,http://ufcstats.com/fighter-details/c06a5c95f1169c0b
233,Nick Barnes,http://ufcstats.com/fighter-details/78a5eea49638685d
234,Shonte Barnes,http://ufcstats.com/fighter-details/e575b6ff678c1aca
235,Josh Barnett,http://ufcstats.com/fighter-details/ad3f53c454cbbead
236,Chris Barnett,http://ufcstats.com/fighter-details/7a5e8c94a86f9895
237,Chris Barnhizer,http://ufcstats.com/fighter-details/91e69a1c3c87325b
238,David Baron,http://ufcstats.com/fighter-details/80c0bed43da0e27b
239,Phil Baroni,http://ufcstats.com/fighter-details/1652f3213655b935
240,Dan Barrera,http://ufcstats.com/fighter-details/f12f979b657ab876
241,Carlos Barreto,http://ufcstats.com/fighter-details/a220be6d41d6f97d
242,Jose Barreto,http://ufcstats.com/fighter-details/c32eab6c2119e989
243,Peter Barrett,http://ufcstats.com/fighter-details/d21113c9ff3788ae
244,Marc-Andre Barriault,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
245,David Barrios,http://ufcstats.com/fighter-details/e6015889f50075d2
246,Alexandre Barros,http://ufcstats.com/fighter-details/8fd1f27e86661ede
247,Ricardo Barros,http://ufcstats.com/fighter-details/d26394fc0e8e880a
248,Francimar Barroso,http://ufcstats.com/fighter-details/b69f24c500d783e7
249,Pat Barry,http://ufcstats.com/fighter-details/658c3465581ae46b
250,Dean Barry,http://ufcstats.com/fighter-details/a6f3d15cb84334bb
251,Enrique Barzola,http://ufcstats.com/fighter-details/be0b310a12eb80b4
252,Javid Basharat,http://ufcstats.com/fighter-details/bbab3baf66128ae2
253,Farid Basharat,http://ufcstats.com/fighter-details/a09ed60aa67a3f67
254,Stephen Bass,http://ufcstats.com/fighter-details/1cecc8fe6748a532
255,Sean Bassett,http://ufcstats.com/fighter-details/2c733e059462c1dc
256,Ryan Bastianelli,http://ufcstats.com/fighter-details/29508aff4d93cbbe
257,Shayna Baszler,http://ufcstats.com/fighter-details/8ef4a91ac694b7ce
258,Michel Batista,http://ufcstats.com/fighter-details/34218661c44ed55d
259,Bryan Battle,http://ufcstats.com/fighter-details/f626118b6da0e020
260,Alan Baudot,http://ufcstats.com/fighter-details/c9a94278df042f46
261,Mario Bautista,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
262,Chris Beal,http://ufcstats.com/fighter-details/55f446032177b119
263,Donovan Beard,http://ufcstats.com/fighter-details/3a6ac598320ca7f2
264,Rudy Bears,http://ufcstats.com/fighter-details/74f13066b1417ef3
265,Salvador Becerra,http://ufcstats.com/fighter-details/4fd76e7ba8313457
266,Ariel Beck,http://ufcstats.com/fighter-details/b96939f2b8d88e82
267,Jeff Bedard,http://ufcstats.com/fighter-details/93bf96be327fcd98
268,Eric Bedard,http://ufcstats.com/fighter-details/ce05955c26c3c090
269,Johnny Bedford,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7
270,Chase Beebe,http://ufcstats.com/fighter-details/b16a7e6a627e9789
271,Lyle Beerbohm,http://ufcstats.com/fighter-details/babc6b5745335f18
272,Allan Begosso,http://ufcstats.com/fighter-details/d6ed764f8b78d32a
273,Mirsad Bektic,http://ufcstats.com/fighter-details/cbd3e590a85b18c5
274,Diana Belbita,http://ufcstats.com/fighter-details/d7e40dca3ae125be
275,Alan Belcher,http://ufcstats.com/fighter-details/4130a743d9d22163
276,Vitor Belfort,http://ufcstats.com/fighter-details/0ee783aa00e468f0
277,Rodolfo Bellato,http://ufcstats.com/fighter-details/69898645d600abdb
278,Danilo Belluardo,http://ufcstats.com/fighter-details/c3f6db17cea09ca7
279,Joey Beltran,http://ufcstats.com/fighter-details/46baf0f57edfa4df
280,Marco Beltran,http://ufcstats.com/fighter-details/ec71a892fada28c7
281,Joseph Benavidez,http://ufcstats.com/fighter-details/80eacd4da0617c57
282,Mike Bencic,http://ufcstats.com/fighter-details/a71feb7ea7592a71
283,Dave Beneteau,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a
284,Karla Benitez,http://ufcstats.com/fighter-details/6104730621ff318d
285,Gabriel Benitez,http://ufcstats.com/fighter-details/436f970c9ea9169c
286,Charles Bennett,http://ufcstats.com/fighter-details/8dc4f34c1f50d00d
287,Josh Bennett,http://ufcstats.com/fighter-details/c3ac8d0da7b05772
288,DeAnna Bennett,http://ufcstats.com/fighter-details/404ecb2700844072
289,Lance Benoist,http://ufcstats.com/fighter-details/5431dccc09118234
290,Joe Benoit,http://ufcstats.com/fighter-details/a30f6d375dea5f9b
291,Ryan Benoit,http://ufcstats.com/fighter-details/20999e27ddd94bda
292,Pat Benson,http://ufcstats.com/fighter-details/a25f3dc0df974597
293,Len Bentley,http://ufcstats.com/fighter-details/592d23aed850e652
294,Steve Berger,http://ufcstats.com/fighter-details/21b1132949f2a9b0
295,Kenneth Bergh,http://ufcstats.com/fighter-details/aa8189053b3a8994
296,Bret Bergmark,http://ufcstats.com/fighter-details/2891c9f7b26b26fc
297,Keith Berish,http://ufcstats.com/fighter-details/e3779ef06e98f185
298,Dennis Bermudez,http://ufcstats.com/fighter-details/6f242453c91a5af0
299,Manny Bermudez,http://ufcstats.com/fighter-details/2dc1bc1a02961656
300,Talita Bernardo,http://ufcstats.com/fighter-details/5b2325cd70dbe2ea
301,Dave Berry,http://ufcstats.com/fighter-details/b3bbe88fecd6a0d2
302,Keith Berry,http://ufcstats.com/fighter-details/0b935b9bbbe5fc07
303,Dieusel Berto,http://ufcstats.com/fighter-details/0db70ca89e1c7374
304,Edson Berto,http://ufcstats.com/fighter-details/66766984842c13dc
305,Allen Berube,http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c
306,Anton Berzin,http://ufcstats.com/fighter-details/8ba8e8d7eafa7267
307,Scott Bessac,http://ufcstats.com/fighter-details/3f24c96753dbd9f9
308,Matt Bessette,http://ufcstats.com/fighter-details/0b8d512c79b4baf3
309,Khadzhi Bestaev,http://ufcstats.com/fighter-details/e05f4ce199baca91
310,Fernando Bettega,http://ufcstats.com/fighter-details/a524710c3ef918fa
311,Arjan Bhullar,http://ufcstats.com/fighter-details/7e511f8d842a109d
312,KB Bhullar,http://ufcstats.com/fighter-details/9cd047a828dd7515
313,Bibulatov Magomed,http://ufcstats.com/fighter-details/87f19d19f4cb73f8
314,David Bielkheden,http://ufcstats.com/fighter-details/1efa064872f089d0
315,Blake Bilder,http://ufcstats.com/fighter-details/5095b0920a3602aa
316,Jonas Bilharinho,http://ufcstats.com/fighter-details/ebbf571f349e79d9
317,Jeremiah Billington,http://ufcstats.com/fighter-details/b3b6e80b7d5f8f0d
318,Scott Bills,http://ufcstats.com/fighter-details/53f02bbc41d99432
319,Anthony Birchak,http://ufcstats.com/fighter-details/c5a126ace82a6025
320,Chris Birchler,http://ufcstats.com/fighter-details/8a22c6b4d29880a3
321,Michael Bisping,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2
322,Amaury Bitetti,http://ufcstats.com/fighter-details/7a359ef685a304a7
323,Caio Bittencourt,http://ufcstats.com/fighter-details/a653cb5eb4b39339
324,Simon Biyong,http://ufcstats.com/fighter-details/27ab7257bf6a3b65
325,Jan Blachowicz,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
326,Jason Black,http://ufcstats.com/fighter-details/b2f743746e8dcfa2
327,Brad Blackburn,http://ufcstats.com/fighter-details/7e69a4b0961aa555
328,Jason Blackford,http://ufcstats.com/fighter-details/619d807fa54ae8f7
329,Tom Blackledge,http://ufcstats.com/fighter-details/2adb11835acd815b
330,Sherrard Blackledge,http://ufcstats.com/fighter-details/0e5c79b3594ff0ad
331,Da'Mon Blackshear,http://ufcstats.com/fighter-details/da22387a0407a2dc
332,Erin Blanchfield,http://ufcstats.com/fighter-details/669970f7feba8ecd
333,Maximo Blanco,http://ufcstats.com/fighter-details/4a1329cc8eb0928a
334,David Blanco,http://ufcstats.com/fighter-details/ebf298f8ac7e232b
335,Curtis Blaydes,http://ufcstats.com/fighter-details/fa6796c55d6c5440
336,Tereza Bleda,http://ufcstats.com/fighter-details/59c438c81fbf3ece
337,Arlene Blencowe,http://ufcstats.com/fighter-details/35d6337320a4ae48
338,Byron Bloodworth,http://ufcstats.com/fighter-details/ecdf14f4f8643d39
339,Dashawn Boatwright,http://ufcstats.com/fighter-details/046a85108610c0d2
340,Dan Bobish,http://ufcstats.com/fighter-details/f348d05403fad037
341,Mark Bocek,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce
342,Kyle Bochniak,http://ufcstats.com/fighter-details/c5af5750e8bae4f0
343,James Bochnovic,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9
344,Jeremy Boczulak,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
345,Tim Boetsch,http://ufcstats.com/fighter-details/c80095f6092271a7
346,Galore Bofando,http://ufcstats.com/fighter-details/8a56ea383fd26e52
347,Jay Bogan,http://ufcstats.com/fighter-details/53c21779d84ceb75
348,Roman Bogatov,http://ufcstats.com/fighter-details/d61316139d68dbe3
349,Derek Bohi,http://ufcstats.com/fighter-details/70a1c7626b5e0599
350,Jerry Bohlander,http://ufcstats.com/fighter-details/93892752c5fc23ca
351,Mandy Bohm,http://ufcstats.com/fighter-details/297a2b35444c245b
352,Kotetsu Boku,http://ufcstats.com/fighter-details/d227958e8a0c1466
353,Gaston Bolanos,http://ufcstats.com/fighter-details/96924b0019b3aff1
354,Kyle Bolt,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35
355,Denys Bondar,http://ufcstats.com/fighter-details/2526be54e6a0e62a
356,Luc Bondole,http://ufcstats.com/fighter-details/8691881b31c16b88
357,Tony Bonello,http://ufcstats.com/fighter-details/702a72aa7a266d86
358,Gabriel Bonfim,http://ufcstats.com/fighter-details/01641ba5df0c69b0
359,Ismael Bonfim,http://ufcstats.com/fighter-details/eb393afdbe3293d5
360,Jesse Bongfeldt,http://ufcstats.com/fighter-details/934de214814b8ff4
361,Marcos Bonilla,http://ufcstats.com/fighter-details/d311fbefff44a39b
362,Stephan Bonnar,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb
