,name,url
0,Tom Aaron,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
1,Danny Abbadi,http://ufcstats.com/fighter-details/15df64c02b6b0fde
2,Nariman Abbasov,http://ufcstats.com/fighter-details/59a9d6dac61c2540
3,David Abbott,http://ufcstats.com/fighter-details/b361180739bed4b0
4,Hamdy Abdelwahab,http://ufcstats.com/fighter-details/3329d692aea4dc28
5,Shamil Abdurakhimov,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
6,Hiroyuki Abe,http://ufcstats.com/fighter-details/c0ed7b208197e8de
7,Daichi Abe,http://ufcstats.com/fighter-details/5140122c3eecd307
8,Papy Abedi,http://ufcstats.com/fighter-details/c9f6385af6df66d7
9,Ricardo Abreu,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
10,Klidson Abreu,http://ufcstats.com/fighter-details/7279654c7674cd24
11,Daniel Acacio,http://ufcstats.com/fighter-details/1c5879330d42255f
12,John Adajar,http://ufcstats.com/fighter-details/989b85f6540c86b1
13,Scott Adams,http://ufcstats.com/fighter-details/2620f3eb21c79614
14,Juan Adams,http://ufcstats.com/fighter-details/83b00f7597e5ac83
15,Anthony Adams,http://ufcstats.com/fighter-details/a77633a989013265
16,Zarrukh Adashev,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
17,Israel Adesanya,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
18,Sam Adkins,http://ufcstats.com/fighter-details/0e9869d712e81f8f
19,Nick Agallar,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
20,Mariya Agapova,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
21,Marcelo Aguiar,http://ufcstats.com/fighter-details/44aa652b181bcf68
22,Fabio Aguiar,http://ufcstats.com/fighter-details/501821d7fb7b95c1
23,Edwin Aguilar,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
24,Jessica Aguilar,http://ufcstats.com/fighter-details/8f382b3baa954d2a
25,Kevin Aguilar,http://ufcstats.com/fighter-details/cf946e03ba2e7666
26,Jesus Aguilar,http://ufcstats.com/fighter-details/c051c2e12d692b8a
27,Christian Aguilera,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
28,Nick Aguirre,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
29,Mike Aina,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
30,Ashiek Ajim,http://ufcstats.com/fighter-details/49dea784f6cfed71
31,Hitomi Akano,http://ufcstats.com/fighter-details/2eada40ac8801559
32,Omari Akhmedov,http://ufcstats.com/fighter-details/16690d100f995f8f
33,Yoshihiro Akiyama,http://ufcstats.com/fighter-details/b0550072e5f0afa7
34,Rostem Akman,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
35,Razak Al-Hassan,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
36,Mostapha Al-Turk,http://ufcstats.com/fighter-details/1cf1310684a841f5
37,Herdem Alacabek,http://ufcstats.com/fighter-details/7578cc6bd750206b
38,Javi Alanis,http://ufcstats.com/fighter-details/2144954270be834d
39,Alatengheili,http://ufcstats.com/fighter-details/1897b7b913736a7c
40,Amir Albazi,http://ufcstats.com/fighter-details/6d35bf94f7d30241
41,Brett Albee,http://ufcstats.com/fighter-details/9b28292abe3166d5
42,John Albert,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
43,Junior Albini,http://ufcstats.com/fighter-details/c482c8605455a213
44,Wes Albritton,http://ufcstats.com/fighter-details/184b955181bdef52
45,Aleksandra Albu,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
46,Israel Albuquerque,http://ufcstats.com/fighter-details/dd1b90eea08887f6
